user_name,display_name
--2,両儀式
06011988,06011988
0Llve,Olivier Fraysse
0xff,0xFF
0xffff00,0xffff00
11010010,David Decotigny
111110101011,cacatoès
120,120
135712,135712
142857,142857
16ar,16aR
1984,1984
21rdoma,21rdoma
2bass,2bass
2df,Simon Depiets
2high,2high
2le,Sébastien HEITZMANN
2petitsverres,2PetitsVerres
2relais,2relais
2x2,2x2
2xplop,2xplop
3mda--4,3mda
3singes,3singes
4fages,4fages
4lex11s,ɹǝɓuᴉɹǝɐH ʅǝnuɐɯɯƎ-sᴉxǝʅⱯ
4ngelius,4ngelius
4stro,4strO
4uk,4uk
6arts,6arts
77flem,77flem Christophe 77flem
911gt3,911GT3
91gev,91GeV
98111,un_brice
__bsod__,Fred
__caffeine__,__caffeine__
__gilles,Gilles Chehade
__max__,__Max__
__o,__o
_alex,_alex
_anthony,Anthony R.
_babar_,_Babar_
_bg_,_BG_
_bingo_,_bingo_
_dodo_,_dodo_
_elric,_eLRIC
_epok,_EpOk
_euclide,Euclide
_flo_,_flo_
_florent,Florent Bayle
_franz_telekom,_Franz_Telekom
_freeman_,Michel Rasschaert
_gp,_gp
_gryzor_,_gryzor_
_guigui2_,_GuiGui2_
_guile_,Romaric Guillier
_hitek_,_Hitek_
_hugo_,hugo
_jean,_jean
_jordan_,_jordan_
_kangs,Kangs
_kaos_,_kaos_
_kd,kd
_laurent_,_Laurent_
_linux_bsd_,_linux_bsd_
_mad_,_mad_
_manu3138_,_Manu3138_
_matt_,Matthieu
_mekare_,_Mekare_
_moumoutte,Guillaume Camera
_mumux,_Mumux
_nash_,_NaSH_
_ng_,Nicolas Guillaume
_nirvana_,Fabio Parisi
_p4_,_p4_
_philou_,Philippe THIERRY
_phix_,_PhiX_
_ping_,_PinG _
_r1_,Erwan Le Gall
_seb_,_seb_
_sil_,_Sil_
_sisyphe_,Guillaume
_tof_,_Tof_
_tty,_tty
a-wai,a-wai
a0cc0fk,A0cC0Fk
a2g,plr
a_caspis,a_caspis
a_jr,a_jr
aaatchoum,aaatchoum
aae,aae
aakash26,aakash26
aaribaud,Albert ARIBAUD
abakkk,abakkk
abarret,vitanix
abby,Abby
abcd,Abcd
abdelli,David Abdelli
abdoulfatahou,abdoulfatahou
abelloni,Alexandre Belloni
aberaud,Alexandre Beraud
abgech,abgech
abki,abki
abofrp31,abofrp31
aboot,aboot
abozi,abozi
abramov_ms,abramov_MS
abraracourcix,abraracourcix
abraxas,abraxas
abrida,abrida
abriotde,abriotde
abrodard,abrodard
abstract,el_mickey
acabiran,acabiran
acatout,acatout
accent,accent
account,account
acemtp,Vianney Lecroart
acerbe,acerbe
acetik,Stephen Amar
acha42,River
acheumeuneu,Loeki De Leeuw
achil,achil
achillebleu,achillebleu
acid,Julien Danjou
acieroid,Quentin Stievenart
ack,Ack
ack--2,ack
ackan,ackan
ackernul,ackernul
ackira,Ackira
acne,François B.
acordonn,Adrien
acp,Alexis P.
acsalles1,acsalles1
actarien,fred
action09,action09
adam0509,adam0509
adama30,adama30
adedommelin,Alexandre De Dommelin
adeimantos,Adeimantos
adenomiosis,adenomiosis
aderumier,aderumier
adibou,adibou
adinsx,adinsx
adjivas,adjivas
admru1,Yves DEMUR
adn733r,Florian
adolphos,adolphos
adonai,adonai
adri2000,Adrien Cunin
adrien--3,Chuck #1
adrien_d,Adrien_D
adrieng,Adrien
adrienleroy,adrien le roy
adrienpestel,adrienpestel
adulau,Alexandre Dulaunoy
aedrin,aedrin
aefron,Aefron
aegir_lf,aegir_lf
aegirs,aegirs
aelfwine,Benoît Gouhier
aem_,aem_
aerdhyl,Bruno Carlin
aeriol,Aeriol
aerios,aerios
aeris22,Aeris
aeryn,aeryn
aesculapius,Nicolas GROSJEAN
aeten,aeten
aethium,Mathieu LARUELLE
afby,afby
afuj,afuj
aful,AFUL
agalaz,Agalaz
agarwaen,Agarwaen
aggie,Le Monolecte
agmk,agmk
agnes,agnes
agnesz,Agnès
agone,Agone
agostini,Yves Agostini
agreu,agreu
agrou,Agrou
ahaggar,Avenel Olivier
ahrasyl,AhrAsyL
ahsmodhe,alexandre bonhomme
ahuillet,ahuillet
aigleblanc,Fabrice
aigleton,AigletoN
ailef,Lionel Fournigault
aimelin,Noël Bardelot
ainu,Julien Cassignol
aiolos--2,aiolos
air1ontheweb,air1ontheweb
airmax,Maxime Ritter
airoine,Goalou Erwan
airome,airome
aissen,Aissen
aisyk,Aisyk
aisyko,Alain
aiua,Aiua
aiz,AiZ
ajacoutot,Antoine Jacoutot
ajordan,ajordan
ak_ka,ak_ka
akauffmann,Alexis Kauffmann
akela_nde,Akela_NDE
akell,akell
aki,aki
akiel,Akiel
akien,Rémi Verschelde
akimatsumoto,akimatsumoto
akimd,akimd
akram,Akram ________
al_,albert
al_trent,Al_trent
alag,Alexis Agahi
alain67,Alain67
alainc,alainC
alaindominique,alaindominique
alainz,AlainZ
alan_drouizig,Alan_Drouizig
alan_t,Alan_T
alban,alban
alban--2,Alban
albancrequy,Alban Crequy
albatar,albatar
albator_123,albator_123
alberic89,alberic89 🐧
albert_,Albert_
albert_mt,albert_mt
albertfr,AlbertFR
alberthier,alberthier
alberto,Alberto
albertsimon,albertsimon
albireo,albireo
albirew,Albirew
alchemist,alchemist
alci,Franck Routier
alcyone,Alcyone
aldebaran-0,Aldebaran
alderan,alderan
aldian,Aldian
aldoo,Aldoo
aldoreset,Luc Goldden
aldovar,Aldevar
alef,alef
aleklyon,Alek_Lyon
alendroi,alendroi
aleph,Pascal Lambert
alex14,Pierre Tramal
alex206,alex206
alex666,alex666
alex_kio,alex_kio
alexandreb,Alexandre
alexandred-0,AlexandreD
alexarnaud,alexarnaud
alexbcd,AlexBCD
alexen,alexen
alexg,Alex G.
alexisg,alexisg
alexisj,Alexis J
alexkalibur,Alexandre Dombrat
alexmic,alexmic
alexsom43,AlexSom43
alexterieur,AlexTérieur
alexzl,AlexZl
alf,alf
alf_,Alf
alfafa,alfafa
alfo,alfo
algagidom,algagidom
algernon,Algernon
alias11,alias11
alice_liddell,alice
alid12h,alid12h
alien,alien
alien_life_form,Gordon Shumway
alienus,alienus
alimae,alimae
alimentaire,Voltairine
alittlewoodelfe,... a little wood elfe
alive,alive
alix,Alix Guillard
alixcazenave,alixcazenave
aljes,al.jes
aljeux,aljeux
alk,alk
alkahan,Matthieu Duchemin
alkana,Alkana
alkino,alkino
alkove,Lucky Seven
allantk,AllanTK
allcolor,allcolor
allergy,Amand Tihon
almacha,almacha
almanar,Almanar
alnicodon,alnicodon
aloctus,Aloctus
alogen,alogen
alokkin,alokkin
alolise-2,Alolise
alouali,alouali
alpentux,alpentux
alpha,AlphA
alpha_one_x86,alpha_one_x86
alphacc,alphacc
alpharom,alpharom
alphonse_o,Alphonse Oncle
alpliar,Alexandre P
alt3,alt3
altatof,altatof
altgr,AltGr
alto,ALTO
altofeux,altofeux
altom,sebastien balutaud
altor,Altor
alub,alub
aluminium95,Aluminium95
alung,alung
alv,AlV
alvarez,Alvarez
alveric,alf
alxgomz,Chapellon Alexandre
alzorglub,alzorglub
am17,Aurelien
am1na,Amina
amadeus029,amadeus029
amael,amael
amandriv,amandriv
amaury,Amaury
amaury_bouchard,Amaury Bouchard
amber,Amber
amden,amden
amdg-0,amdg
amessihel,HL
ametaireau,Alexis Metaireau
amha,amha
amhra,amhra
amic,amic
amielp,amielp
amine82,Amine Mokhtari
amiralgaby,Amiralgaby
amont_info,Rose Humphrey
amoreau-2,amoreau
amt,Laurent ARCHI
amx,Antoine Büsch
an0y,an0y
anabolic,anabolic
anacr0x,HoloAddict
anaelle,Anaelle
anagrys,anagrys
anahop,anahop
anakin,anakin
analogue,analogue o/
analogx,analogx analogx
anapivirtua,Thomas
anares,Anares
anarky,Julien
anarnux,anarnux
anaseto,anaseto
anaspleen,anaspleen
anaximandre,Anaximandre
anb,Anb
ancarion,AnCaRioN
andeus,andeus
andre_ani,ANDRE Ani
andred,Doherty André
andree-3,Andree
andrianarivony,ZeroHeure
aneto,aneto
ange7,Ange7
ange_thom,ange_thom
angel2k,Nico
angeline40,angeline40
angenoir,Monsieur Flynn
angsthase,angsthase
angusyoung,angusyoung
anguyen,Nguyen Antoine
anh_tuan,Anh Tuan Nguyen Pham
anignaro,anignaro
animal_omega,animal_omega
animatrix,Animatrix
anisometropie,Anisometropie
ankill,Ankill
anne-au-mali,anne.au.mali
ano,Ano
anod1,Nicolas
anomaly,Anomaly
anonimulo,anonimulo
anonyme,Anonyme
anonyme1712,Nicolas
anonyme512,anonyme512
anonyme_couard,anonyme_couard
anonymous,anonymous
anonymous_ducon,ducon anonymous
anselme,Anselme
ant,Ant
antaga,Olivier
antesis-org,antesis.org
anthony43,Anthony Dahanne
antibarbie,let antibarbie = xp <- xp - 1
anticholesterol,Anticholesterol
anticons,anticons
antinea422,antinea422
antipirates,AntiPirates
antistress,antistress
antjac,Antoine Alexandre
antjohen,antjohen
antoine,Antoine
antoine_,Roux Antoine
antoinebrunel,antoinebrunel
antoineg92,Antoine Gutzwiller
antoinelucas,antoinelucas
antoines,Antoine Schweitzer-Chaput
antoningp,antoningp
antoninus,Antoninus
antoniop,Antoniop
antonus,antonus
antoweb,antonio vinci
antoyo,antoyo
antro,E V
anubis,anubis
anvil,Dams Nadé
anw,anw
aongenae,aongenae
ap0,ap0
apal,Alex
apdt,APDT
apef,apef
aphilippe,Aphilippe
apichat,Apichat
apitux,Jean-Christophe BECQUET
apkwa,apkwa
aplc--2,aplc
apocryphe,apocryphe
apollolune,apollolune
apossium,Sebastien - aem
apostle,apostle
apothin,Pothin Alain
appelezmoimoi,appelezmoimoi
apperrin,AP
applex,applex
appnum,AppNum
apterium,apterium
aptget,Michel
aquarius,Aquarius
aquilegia,Aquilegia
ar7,AR7
arachne,Arachne
arakan,arakan
arakeis3,arakeis3
aranud,aranud
arapaho,arapaho
arazel,Thomas Laffont
arbadacarba,ArBaDaCarBa
archange-2,Archange
archaons,archaons
archibald,Archibald
arclight,Arclight
arcturien,Herve Ndoguefouba
ardechelibre,ardechelibre
arduinooo,arduinooo
aredia,Aredia
arenevier,arenevier
arenthis,arenthis
arfang,brunus
argolance,argolance
argt,argt
arhgi,arhgi
ariadacapo,O C
ariakas,Julien Picca
ariasuni,ariasuni
arielbiton,zplinux
arioch,arioch
aris_a,Aris Adamantiadis
aristippe,Alain
arkana,arkana
arkaon,AKN
arkem,Arkem
arkezis,Arkezis
arkos--2,Arkos
arkos_rip,arkos
arlequin,Thomas
arma,arma
armanoid,armanoid
armik2touk,Armik de Kernac'h
armony,Armony
armonyaltinier-0,armonyaltinier
armorique,アントニ ドミ
arn34,arN34
arnal,Arnal
arnaud_divers,arnaud_divers
arnaudc,arnaudc
arnaudco,arnaud.c
arnaudj,arnaudj
arnaudus,arnaudus
arnauld,arnauld
arno--2,arno
arno_,arnaud
arno_f,arno_f
arnohoho,arnohoho
arnotex,Arnotex
arnuld,Arnaldur
arny,ArnY
arodier,Andre Rodier
arofarn,Pierrick C.
arooo,Olivier Giroire
arpinux,arpinux
arpyc,Pierre-Yves
arronax,arronax
arrouan,Jonathan ROUZAUD-CORNABAS
arschney,Arschney
arsenic,arsenic
arsfox,Sebastien
arsine,Arsine
arslan,arslan
artagorn,kadreg
artefact,Jean Parpaillon
artefact2,Artefact2
artemys,Julien Boibessot
arthur_geek,Arthur Geek
arthurr,arthurr
arthurwolf,arthurwolf
arthy,Michael Rao
artist,artist
arvik,Arvil
arx,ARX
aryaman,Aryaman
asailor,asailor
asaln,asaln
asbin,asbin
asco,asco
asgeir,Rémi Birot-Delrue
ash-2,ash
ash_crow,Ash_Crow
asher,asher
ashgan,ashgan
ashitaka81,François LEIBER
ashledombos,ashledombos
ashram4,ashram4
ashro,ashro
askarel666,Frédéric
asky,asky
asl,Arnaud Launay
asm0deuz,AsM0DeUz
asmman,Bob Billy
aspegic500,aspegic500
aspirit,ASpirit
aspyrine,Olivier Meunier
asr,Gaétan RYCKEBOER
asrieducation,ASRI éducation
assidu,assidu
assoscenari,Association Scenari
asstrop,Asstrop
astafyr,astafyr
astaoth,Astaoth
astennu,astennu
asterios2,Asterios2
asteroid,asteroid
asthiata,Asthiata
asthro,asthro
asyd,Bruno Bonfils
atakito,atakito
atarakt,atarakt
atem18,Atem18
atemu,Thibault Baldetti
athel,Athel
athom,aThom
athos10,Michaël Aubertin
atlexx,atlexx
atmaniak,atmaniak
atreju,Marc-Olivier Barre
attilagab,Attilagab
attrape_coquins,attrape_coquins
auberon,.O.
audionuma,audionuma
audoux,Pascal Audoux
augras,augras
